170	1.67E+07	2.71E+05	7.52E+00
171	1.68E+07	2.98E+05	7.76E+00
172	1.69E+07	3.06E+05	8.22E+00
173	1.70E+07	3.02E+05	8.77E+00
174	1.71E+07	3.25E+05	9.12E+00
175	1.72E+07	3.35E+05	9.71E+00
176	1.73E+07	3.39E+05	1.02E+01
177	1.74E+07	3.47E+05	1.08E+01
178	1.75E+07	3.49E+05	1.14E+01
179	1.76E+07	3.72E+05	1.19E+01
180	1.77E+07	3.76E+05	1.28E+01
181	1.78E+07	3.92E+05	1.34E+01
182	1.79E+07	4.00E+05	1.41E+01
183	1.80E+07	4.17E+05	1.49E+01
184	1.81E+07	4.23E+05	1.56E+01
185	1.82E+07	4.41E+05	1.65E+01
186	1.83E+07	4.50E+05	1.74E+01
187	1.84E+07	4.54E+05	1.81E+01
188	1.85E+07	4.58E+05	1.94E+01
189	1.86E+07	4.80E+05	2.03E+01
190	1.87E+07	4.78E+05	2.13E+01
191	1.88E+07	5.03E+05	2.21E+01
192	1.89E+07	5.11E+05	2.32E+01
193	1.90E+07	5.26E+05	2.42E+01
194	1.91E+07	5.25E+05	2.51E+01
195	1.92E+07	5.38E+05	2.60E+01
196	1.93E+07	5.56E+05	2.71E+01
197	1.94E+07	5.54E+05	2.82E+01
198	1.95E+07	5.60E+05	2.93E+01
199	1.96E+07	5.64E+05	3.03E+01
200	1.97E+07	5.87E+05	3.10E+01
201	1.98E+07	6.07E+05	3.20E+01
202	1.99E+07	6.07E+05	3.32E+01
203	2.00E+07	5.97E+05	3.21E+01
204	2.01E+07	5.99E+05	3.09E+01
205	2.02E+07	5.79E+05	3.01E+01
206	2.03E+07	5.73E+05	2.90E+01
207	2.04E+07	5.68E+05	2.82E+01
208	2.05E+07	5.54E+05	2.71E+01
209	2.06E+07	5.60E+05	2.60E+01
210	2.07E+07	5.30E+05	2.50E+01
211	2.08E+07	5.26E+05	2.40E+01
212	2.09E+07	5.03E+05	2.32E+01
213	2.10E+07	4.97E+05	2.21E+01
214	2.11E+07	5.01E+05	2.11E+01
215	2.12E+07	4.80E+05	2.03E+01
216	2.13E+07	4.64E+05	1.95E+01
217	2.14E+07	4.66E+05	1.82E+01
218	2.15E+07	4.37E+05	1.73E+01
219	2.16E+07	4.41E+05	1.64E+01
220	2.17E+07	4.33E+05	1.58E+01
221	2.18E+07	4.15E+05	1.51E+01
222	2.19E+07	4.03E+05	1.41E+01
223	2.20E+07	4.05E+05	1.35E+01
224	2.21E+07	3.98E+05	1.26E+01
225	2.22E+07	3.98E+05	1.19E+01
226	2.23E+07	3.72E+05	1.13E+01
227	2.24E+07	3.53E+05	1.08E+01
228	2.25E+07	3.45E+05	1.01E+01
229	2.26E+07	3.43E+05	9.75E+00
230	2.27E+07	3.35E+05	9.08E+00
231	2.28E+07	3.21E+05	8.81E+00
232	2.29E+07	2.96E+05	8.26E+00
233	2.30E+07	3.08E+05	7.68E+00
234	2.31E+07	2.90E+05	7.25E+00
235	2.32E+07	2.82E+05	6.94E+00
236	2.33E+07	2.67E+05	6.78E+00
237	2.34E+07	2.71E+05	6.27E+00
238	2.35E+07	2.51E+05	5.96E+00
239	2.36E+07	2.43E+05	5.76E+00
240	2.37E+07	2.39E+05	5.45E+00
241	2.38E+07	2.04E+05	5.22E+00
242	2.39E+07	2.04E+05	4.71E+00
243	2.40E+07	1.87E+05	4.59E+00
244	2.41E+07	1.92E+05	4.20E+00
245	2.42E+07	1.81E+05	3.97E+00
246	2.43E+07	1.59E+05	3.81E+00
247	2.44E+07	1.63E+05	3.34E+00
248	2.45E+07	1.47E+05	3.18E+00
249	2.46E+07	1.38E+05	2.99E+00
250	2.47E+07	1.30E+05	2.68E+00
251	2.48E+07	1.16E+05	2.52E+00
252	2.48E+07	9.47E+04	2.40E+00
253	2.49E+07	8.89E+04	2.40E+00
254	2.50E+07	9.47E+04	1.78E+00
255	2.51E+07	8.30E+04	1.70E+00
256	2.52E+07	7.13E+04	1.47E+00
257	2.53E+07	4.59E+04	1.15E+00
258	2.54E+07	5.37E+04	9.57E-01
259	2.55E+07	3.22E+04	6.84E-01
260	2.56E+07	2.05E+04	3.71E-01
261	2.57E+07	2.44E+04	2.15E-01
262	2.58E+07	8.79E+03	1.95E-02
263	2.59E+07	-6.84E+03	-3.32E-01
264	2.60E+07	-4.88E+03	-3.32E-01
265	2.61E+07	-1.86E+04	-5.27E-01
266	2.62E+07	-2.83E+04	-1.15E+00
267	2.63E+07	-3.61E+04	-1.15E+00
268	2.64E+07	-5.76E+04	-1.31E+00
269	2.65E+07	-5.96E+04	-1.54E+00
270	2.66E+07	-7.33E+04	-1.86E+00
271	2.67E+07	-9.08E+04	-2.13E+00
272	2.68E+07	-9.47E+04	-2.32E+00
273	2.69E+07	-1.18E+05	-2.60E+00
274	2.70E+07	-1.16E+05	-2.68E+00
275	2.71E+07	-1.40E+05	-3.22E+00
276	2.72E+07	-1.40E+05	-3.26E+00
277	2.73E+07	-1.49E+05	-3.58E+00
278	2.74E+07	-1.53E+05	-3.77E+00
279	2.75E+07	-1.69E+05	-4.16E+00
280	2.76E+07	-1.96E+05	-4.32E+00
281	2.77E+07	-1.87E+05	-4.51E+00
282	2.78E+07	-1.92E+05	-4.83E+00
283	2.79E+07	-2.06E+05	-4.86E+00
284	2.80E+07	-2.20E+05	-5.65E+00
285	2.81E+07	-2.33E+05	-5.72E+00
286	2.82E+07	-2.33E+05	-5.76E+00
287	2.83E+07	-2.47E+05	-6.19E+00
288	2.84E+07	-2.71E+05	-6.74E+00
289	2.85E+07	-2.65E+05	-6.94E+00
290	2.86E+07	-2.63E+05	-7.29E+00
291	2.87E+07	-2.92E+05	-7.60E+00
292	2.88E+07	-2.96E+05	-8.22E+00
293	2.89E+07	-3.23E+05	-8.81E+00
294	2.90E+07	-3.02E+05	-9.24E+00
295	2.91E+07	-3.17E+05	-9.98E+00
296	2.92E+07	-3.35E+05	-1.03E+01
297	2.93E+07	-3.47E+05	-1.08E+01
298	2.94E+07	-3.51E+05	-1.15E+01
299	2.95E+07	-3.78E+05	-1.22E+01
300	2.96E+07	-3.78E+05	-1.30E+01
301	2.97E+07	-3.90E+05	-1.35E+01
302	2.98E+07	-4.00E+05	-1.42E+01
303	2.99E+07	-4.13E+05	-1.51E+01
304	3.00E+07	-4.19E+05	-1.58E+01
305	3.01E+07	-4.31E+05	-1.65E+01
306	3.02E+07	-4.37E+05	-1.75E+01
307	3.03E+07	-4.48E+05	-1.81E+01
308	3.04E+07	-4.62E+05	-1.90E+01
309	3.05E+07	-4.66E+05	-1.99E+01
310	3.06E+07	-4.74E+05	-2.07E+01
311	3.07E+07	-4.84E+05	-2.16E+01
312	3.08E+07	-4.97E+05	-2.27E+01
313	3.09E+07	-5.11E+05	-2.37E+01
314	3.10E+07	-5.19E+05	-2.46E+01
315	3.11E+07	-5.26E+05	-2.55E+01
316	3.12E+07	-5.36E+05	-2.65E+01
317	3.13E+07	-5.46E+05	-2.80E+01
318	3.14E+07	-5.62E+05	-2.88E+01
319	3.15E+07	-5.73E+05	-3.00E+01
320	3.16E+07	-5.73E+05	-3.08E+01
321	3.17E+07	-5.99E+05	-3.21E+01
322	3.18E+07	-6.16E+05	-3.31E+01
323	3.19E+07	-6.09E+05	-3.21E+01
324	3.20E+07	-5.93E+05	-3.08E+01
325	3.21E+07	-5.77E+05	-2.99E+01
326	3.22E+07	-5.75E+05	-2.87E+01
327	3.23E+07	-5.62E+05	-2.77E+01
328	3.24E+07	-5.50E+05	-2.65E+01
329	3.25E+07	-5.40E+05	-2.55E+01
330	3.26E+07	-5.46E+05	-2.46E+01
331	3.27E+07	-5.26E+05	-2.35E+01
332	3.28E+07	-5.07E+05	-2.25E+01
333	3.29E+07	-4.93E+05	-2.15E+01
334	3.30E+07	-4.87E+05	-2.09E+01
335	3.31E+07	-4.84E+05	-1.98E+01
336	3.32E+07	-4.60E+05	-1.89E+01
337	3.33E+07	-4.60E+05	-1.80E+01
338	3.34E+07	-4.56E+05	-1.73E+01
339	3.35E+07	-4.41E+05	-1.64E+01
340	3.36E+07	-4.23E+05	-1.57E+01
341	3.37E+07	-4.09E+05	-1.51E+01
342	3.38E+07	-4.03E+05	-1.44E+01
343	3.39E+07	-3.94E+05	-1.36E+01
344	3.40E+07	-3.84E+05	-1.31E+01
345	3.41E+07	-3.74E+05	-1.21E+01
346	3.42E+07	-3.68E+05	-1.15E+01
347	3.43E+07	-3.58E+05	-1.08E+01
348	3.44E+07	-3.47E+05	-1.03E+01
349	3.45E+07	-3.27E+05	-9.83E+00
350	3.46E+07	-3.35E+05	-9.16E+00
351	3.47E+07	-3.23E+05	-8.69E+00
352	3.47E+07	-3.19E+05	-8.30E+00
353	3.48E+07	-2.94E+05	-7.64E+00
354	3.49E+07	-2.96E+05	-7.33E+00
355	3.50E+07	-2.84E+05	-6.94E+00
356	3.51E+07	-2.65E+05	-6.62E+00
357	3.52E+07	-2.69E+05	-6.15E+00
358	3.53E+07	-2.45E+05	-5.96E+00
359	3.54E+07	-2.39E+05	-5.61E+00
360	3.55E+07	-2.33E+05	-5.22E+00
361	3.56E+07	-2.24E+05	-5.10E+00
362	3.57E+07	-1.98E+05	-4.86E+00
363	3.58E+07	-1.96E+05	-4.55E+00
364	3.59E+07	-1.83E+05	-4.20E+00
365	3.60E+07	-1.79E+05	-3.97E+00
366	3.61E+07	-1.77E+05	-3.65E+00
367	3.62E+07	-1.53E+05	-3.50E+00
368	3.63E+07	-1.47E+05	-3.34E+00
369	3.64E+07	-1.42E+05	-3.22E+00
370	3.65E+07	-1.32E+05	-3.03E+00
371	3.66E+07	-1.16E+05	-2.48E+00
372	3.67E+07	-1.12E+05	-2.44E+00
373	3.68E+07	-9.67E+04	-2.13E+00
374	3.69E+07	-8.69E+04	-1.89E+00
375	3.70E+07	-8.11E+04	-1.82E+00
376	3.71E+07	-6.94E+04	-1.27E+00
